CODIGO_DO_PRODUTO;NOME_DO_PRODUTO;EMBALAGEM;TAMANHO;SABOR;PRECO_DE_LISTA
1000889;Sabor da Montanha - 700 ml - Uva;Garrafa;700 ml;Uva;6,309
1002334;Linha Citros - 1 Litro - Lima/Limão;PET;1 Litro;Lima/Limão;8,0
1002767;Videira do Campo - 700 ml - Cereja/Maça;Garrafa;700 ml;Cereja/Maça;8,41
1004327;Videira do Campo - 1,5 Litros - Melância;PET;1,5 Litros;Melância;19,51
1013793;Videira do Campo - 2 Litros - Cereja/Maça;PET;2 Litros;Cereja/Maça;24,01
1022450;Festival de Sabores - 2 Litros - Açai;PET;2 Litros;Açai;38,012
1037797;Clean - 2 Litros - Laranja;PET;2 Litros;Laranja;16,008
1040107;Light - 350 ml - Melância;Lata;350 ml;Melância;4,555
1041119;Linha Citros - 700 ml - Lima/Limão;Garrafa;700 ml;Lima/Limão;4,904
1078680;Frescor do Verão - 470 ml - Manga;Garrafa;470 ml;Manga;5,1795
1086543;Linha Refrescante - 1 Litro - Manga;PET;1 Litro;Manga;11,0105
1096818;Linha Refrescante - 700 ml - Manga;Garrafa;700 ml;Manga;7,7105
1101035;Linha Refrescante - 1 Litro - Morango/Limão;PET;1 Litro;Morango/Limão;9,0105
229900;Pedaços de Frutas - 350 ml - Maça;Lata;350 ml;Maça;4,211
231776;Festival de Sabores - 700 ml - Açai;Garrafa;700 ml;Açai;13,312
235653;Frescor do Verão - 350 ml - Manga;Lata;350 ml;Manga;3,8595
243083;Festival de Sabores - 1,5 Litros - Maracujá;PET;1,5 Litros;Maracujá;10,512
290478;Videira do Campo - 350 ml - Melância;Lata;350 ml;Melância;4,56
